ASSAY_ID,assay_chembl_id,16_auc_before_train,32_auc_before_train,64_auc_before_train,96_auc_before_train,16_auc_after_train,32_auc_after_train,64_auc_after_train,96_auc_after_train
688267,CHEMBL1614530,0.54+/-0.09,0.54+/-0.10,0.55+/-0.09,0.55+/-0.09,0.55+/-0.10,0.55+/-0.09,0.59+/-0.10,0.60+/-0.09
600886,CHEMBL1040692,0.54+/-0.08,0.54+/-0.08,0.54+/-0.07,0.56+/-0.08,0.54+/-0.10,0.54+/-0.09,0.57+/-0.10,0.59+/-0.09
737826,CHEMBL1741325,0.57+/-0.11,0.57+/-0.10,0.58+/-0.09,0.59+/-0.10,0.63+/-0.11,0.63+/-0.10,0.66+/-0.10,0.68+/-0.10
737824_1,CHEMBL1741323,0.58+/-0.10,0.55+/-0.10,0.59+/-0.09,0.58+/-0.09,0.61+/-0.10,0.65+/-0.09,0.69+/-0.09,0.68+/-0.09
737825,CHEMBL1741324,0.51+/-0.09,0.51+/-0.08,0.52+/-0.09,0.54+/-0.09,0.68+/-0.09,0.66+/-0.09,0.68+/-0.08,0.68+/-0.09
1495405,CHEMBL3562136,0.52+/-0.08,0.55+/-0.10,0.56+/-0.08,0.57+/-0.09,0.72+/-0.09,0.77+/-0.09,0.77+/-0.07,0.77+/-0.08
737053,CHEMBL1738598,0.51+/-0.09,0.53+/-0.09,0.54+/-0.08,0.54+/-0.08,0.52+/-0.08,0.55+/-0.09,0.54+/-0.08,0.60+/-0.09
737400,CHEMBL1738606,0.54+/-0.08,0.56+/-0.08,0.56+/-0.08,0.57+/-0.08,0.53+/-0.10,0.53+/-0.10,0.57+/-0.08,0.60+/-0.10
736947,CHEMBL1738312,0.53+/-0.09,0.54+/-0.10,0.57+/-0.09,0.56+/-0.09,0.54+/-0.11,0.55+/-0.11,0.56+/-0.08,0.57+/-0.10
752347,CHEMBL1794311,0.57+/-0.10,0.59+/-0.11,0.60+/-0.12,0.61+/-0.11,0.57+/-0.11,0.64+/-0.12,0.69+/-0.10,0.68+/-0.10
752496,CHEMBL1794486,0.57+/-0.10,0.59+/-0.11,0.61+/-0.09,0.66+/-0.09,0.60+/-0.09,0.64+/-0.09,0.68+/-0.08,0.68+/-0.08
752509,CHEMBL1794499,0.55+/-0.08,0.57+/-0.07,0.58+/-0.08,0.59+/-0.08,0.60+/-0.10,0.63+/-0.08,0.64+/-0.08,0.63+/-0.08
752594,CHEMBL1794584,0.61+/-0.09,0.64+/-0.07,0.65+/-0.06,0.64+/-0.07,0.78+/-0.08,0.77+/-0.06,0.76+/-0.08,0.77+/-0.08
809095,CHEMBL1964081,0.54+/-0.08,0.55+/-0.08,0.56+/-0.07,0.57+/-0.08,0.70+/-0.12,0.74+/-0.08,0.75+/-0.08,0.75+/-0.07
845173,CHEMBL2114784,0.68+/-0.08,0.69+/-0.07,0.69+/-0.07,0.69+/-0.07,0.73+/-0.08,0.79+/-0.07,0.79+/-0.07,0.80+/-0.07
845196,CHEMBL2114807,0.62+/-0.09,0.64+/-0.08,0.66+/-0.08,0.65+/-0.09,0.80+/-0.08,0.82+/-0.08,0.82+/-0.07,0.80+/-0.08
954338,CHEMBL2354287,0.51+/-0.08,0.51+/-0.07,0.51+/-0.08,0.51+/-0.08,0.53+/-0.09,0.51+/-0.09,0.54+/-0.09,0.50+/-0.09
845206,CHEMBL2114817,0.53+/-0.09,0.54+/-0.07,0.56+/-0.08,0.56+/-0.08,0.53+/-0.09,0.58+/-0.10,0.66+/-0.10,0.67+/-0.08
